,Standard Deviations,Expected Return,Theta
0,0.0,0.09365412485766829,0.0
1,0.31622776601683794,0.14710425458187612,0.48735081546078257
2,0.4472135954999579,0.1692440232242443,0.6892181328582262
3,0.5477225575051662,0.18623246521114373,0.8441163734881993
4,0.6324555320336759,0.20055438430608397,0.9747016309215651
5,0.7071067811865476,0.21317224832717907,1.0897495522602654
6,0.7745966692414834,0.22457966936754564,1.1937608236082045
7,0.8366600265340756,0.2350698756520636,1.2894090589537628
8,0.8944271909999159,0.2448339215908203,1.3784362657164522
9,0.9486832980505138,0.2540045140302918,1.4620524463823477
10,0.9999999999999999,0.26267827601763255,1.541138596396475
11,0.6488709077419919,0.20332897925115395,1.0
